,bed_availability,budget_range,location,ownership,name,services,specialty,address
Scheduled,65,382953,Ambattur,Private,AB HOSPITAL,Inpatient,Neurology,"PARRY SALAI,  4TH BLOCK MUGAAPAIR EAST
CHENNAI 600037"
Immediate,55,320435,Ambattur,Private,MADRAS MEDICAL MISSION,Laboratory,Pediatrics,MUGAAPAIR EAST CHENNAI   600037
Unavailable,172,365199,Ambattur,Private,RAJ NURSING HOME,Emergency,Gynaecology,1TH BLOCK MUGAAPAIR EAST CHENNAI   600037
Immediate,184,258421,Ambattur,Private,SHEEFA NURSING HOME,Emergency,Gastro-intestinal,IIND BLOCK MUGAAPAIR EAST CHENNAI   600037
Unavailable,131,31677,Ambattur,Government,GOVT WOMEN AND CHILDREN HOSPITAL,Laboratory,Neurology,EGMORE CHENNAI   600008
Unavailable,144,245691,Anna Nagar,Private,VILLIVAKKAM HEALTH CENTRE,Daycare,Gynaecology,"NO.4, NEW AVADI ROAD, VILLIVAKKAM, CHENNAI
600049"
Immediate,170,238813,Anna Nagar,Private,B B HOSPITAL,Daycare,Orthopedics,"10, DAYALU NAGAR,  KOLATHUR, CHENNAI 600099"
Immediate,35,149155,Anna Nagar,Private,NEW HOPE FAMILY CARE HOSPITAL,Home Nursing,Neurology,"33/16, SANNATHI STREET, VILLIVAKKAM, CHENNAI
600049"
Immediate,161,262782,Anna Nagar,Private,CHATVMI HEALTH CENTRE,Emergency,Pediatrics,"NO.5, HIGH COURT COLONY MAIN STREET,
VILLIVAKKAM, CHENNAI 600049"
Scheduled,153,17234,Anna Nagar,Government,CAUVERY TRUST HOSPITAL,Inpatient,Gastro-intestinal,"NO.36, PONNANKINARU STREET, VILLIVAKKAM,
CHENNAI     600049"
Immediate,64,497805,Anna Nagar,Private,LIFE CARE DKJ HOSPITAL,Daycare,Pediatrics,"NEW NO.177/3, M.T.H. ROAD VILLIVAKKAM CHENNAI
600049"
Unavailable,40,186737,Anna Nagar,Private,NEW HOPE FAMILY CARE HOSPITAL,Emergency,Cardiology,"NO. 33/16, SANNATHI STREET, VILLIVAKKAM,
CHENNAI     600049"
Immediate,77,144173,Anna Nagar,Private,CAUVERY TRUST HOSPITAL,Emergency,Orthopedics,"36, PONNANKINARU STREET VILLIVAKKAM CHENNAI
600049"
Unavailable,140,476330,Anna Nagar,Private,WOMEN AND CHILDREN FOUNDATION LTD.,Inpatient,Orthopedics,"17, SANNADHI STREET, VILLIVAKKAM, CHENNAI
600049"
Scheduled,127,365805,Anna Nagar,Private,LAKSHMI NURSING HOME,Inpatient,Gynaecology,"10, M.T.H.ROAD, VILLIVAKKAM, CHENNAI 600049"
Unavailable,166,309428,Anna Nagar,Private,MOHAN NURSING HOME,OPD,Cardiology,"165, M.T.H. ROAD, CHENNAI   600049"
Immediate,84,357029,Anna Nagar,Private,M.S. HOSPITAL,Emergency,Cardiology,"NO.37, PONNAN KINARU STREET, VILLIVAKKAM
CHENNAI 600049"
Unavailable,194,250118,Anna Nagar,Private,MADRAS CLINIC AND NURSING HOME,Laboratory,Gastro-intestinal,AYANAVARAM CHENNAI   600023
Unavailable,43,257044,Anna Nagar,Private,MEDLINE CHILDREN HOSPITAL,OPD,Gynaecology,"NO.16, V.P. COLONY 2ND CROSS STREET
AYANAVARAM, CHENNAI   600023"
Scheduled,78,208876,Anna Nagar,Private,CARE AND CURE SPECIALITY HOSPITAL,Home Nursing,Gastro-intestinal,"NO.144/347, KONNUR HIGH ROAD, AYANAVARAM,
CHENNAI   600023"
Scheduled,187,40960,Anna Nagar,Government,AYANAVARAM CWC,Inpatient,Psychiatry,"AYANAVARAM MARKET NEAR JOINT OFFICE
CHENNAI 600023"
Unavailable,42,259399,Anna Nagar,Private,A C HOSPITAL,Daycare,Orthopedics,"3RD MAIN ROAD, UNITED INDIA
NAGAR,AYANAVARAM, CHENNAI 600023"
Immediate,179,374117,Anna Nagar,Private,SOUTHERN RAILWAY HOSPITAL,Daycare,ENT,"6, RAILWAY HIGH ROAD, PERAMBUR, CHENNAI
600023"
Scheduled,117,172478,Anna Nagar,Private,AC HOSPITAL,Laboratory,Psychiatry,"NO.8, THIRD MAIN ROAD, UNITED INDIA NAGAR,
AYANAVARAM, CHENNAI    600023"
Immediate,25,414042,Anna Nagar,Private,ICF HOSPITAL,Home Nursing,Cardiology,CHENNAI     600038
Unavailable,143,426800,Anna Nagar,Private,SRI GANESANS HOSPITAL,Home Nursing,Pediatrics,"13, T.V.K.STREET, AYANAVARAM, CHENNAI 600023"
Immediate,75,311292,Anna Nagar,Private,INFANT JESUS MATERNITY HOME,OPD,Orthopedics,VILLIVAKKAM CHENNAI   600049
Scheduled,51,249016,Anna Nagar,Private,I.K.HOSPITALS,OPD,Gastro-intestinal,"2/1911, J.BLOCK, 15TH MAIN ROAD, ANNA NAGAR,
CHENNAI 600040"
Scheduled,117,435711,Anna Nagar,Private,VEE CARE HOSPITAL,Laboratory,Pediatrics,"NO. 106, PILLAIYAR KOIL STREET THIRUMANGALAM, ANNA NAGAR WEST CHENNAI 600040"
Scheduled,166,392520,Anna Nagar,Private,SRI DEVI HOSPITAL,OPD,General,ANNA NAGAR CHENNAI   600040
Unavailable,53,499767,Anna Nagar,Private,SENTHIL NURSING HOME,Daycare,Neurology,"205A, IIND AVENUE, THIURUMANGALAM, ANNA
NAGAR,CHENNAI 600040"
Immediate,199,244967,Anna Nagar,Private,SUNDARAM MEDICAL FOUNDATION,Daycare,General,"9-C,SHANTHI COLONY, ANNA NAGAR, CHENNAI
600040"
Scheduled,92,231567,Anna Nagar,Private,NEW HOPE INDIAN SPECIALITY HOSPITALS,Laboratory,Cardiology,"NO. 1051, P.H. ROAD ARUMBAKKAM CHENNAI 600106"
Immediate,152,254242,Anna Nagar,Private,SOUNDARPANDIAN BONE AND JOINT HOSPITAL,Inpatient,Psychiatry,"AA-16, 3RD MAIN ROAD,  ANNA NAGAR, CHENNAI
600040"
Unavailable,140,39058,Anna Nagar,Government,THE SPEED MEDICAL CENTRE HOSPITALS,Laboratory,Gynaecology,"NO. 527, POONAMALLE HIGH ROAD ARUMBAKKAM
CHENNAI 600106"
Immediate,93,64667,Anna Nagar,Private,INDIAN HOSPITAL,Inpatient,Pediatrics,"533, P.H.ROAD, ARUMBAKKAM, CHENNAI 600106"
Immediate,140,443910,Anna Nagar,Private,BONE AND JOINT CLINIC,Emergency,General,"AA.16, ANNA NAGAR CHENNAI   600040"
Immediate,199,15858,Anna Nagar,Government,RATHIMED HOSPITAL,Emergency,Psychiatry,"Q-63, 3RD AVENUE ANNA NAGAR CHENNAI 600040"
Unavailable,95,196280,Anna Nagar,Private,"WEST MADRAS MEDICAL CENTRE,",OPD,ENT,"98, SECOND AVENUE, ANNA NAGAR, CHENNAI
600040"
Immediate,179,300618,Anna Nagar,Private,FIRM HOSPITALS,OPD,Gastro-intestinal,"R BLOCK, NO.65, 12TH STREET, ANNA NAGAR,
CHENNAI   600040"
Unavailable,116,317802,Anna Nagar,Private,CITY TOWER HOSPITAL,Daycare,ENT,"AA-10, II AVENUE, ANNA NAGAR, CHENNAI 600040"
Immediate,147,239141,Anna Nagar,Private,KHM HOSPITAL,OPD,General,"AB-14, 6TH MAIN STREET, ANNA NAGAR, CHENNAI
600040"
Unavailable,129,56400,Anna Nagar,Private,PONNAMMAL NURSING HOME,Daycare,Gynaecology,"64-C, IST MAIN ROAD, ANNA NAGAR, CHENNAI
600102"
Immediate,90,88289,Anna Nagar,Private,A.K.HOSPITAL,Inpatient,Gastro-intestinal,"360, P.H.ROAD, AMINJIKARAI, CHENNAI 600029"
Scheduled,119,121922,Anna Nagar,Private,GOVT.PHERIPHERAL HOSPITAL,Home Nursing,Pediatrics,"ANNA NAGAR, CHENNAI   600040"
Immediate,166,129345,Anna Nagar,Private,SELVARANGAM HOSPITAL,OPD,Neurology,"C54, IST MAIN ROAD, ANNA NAGAR, CHENNAI 600102"
Immediate,116,170063,Anna Nagar,Private,U.K. HOSPITALS PVT LTD,Laboratory,Cardiology,"103/112, D-BLOCK, 1ST MAIN ROAD,  ANNA NAGAR
EAST, CHENNAI 600102"
Immediate,49,112139,Anna Nagar,Private,DIABETES RESEARCH INSTITUTE,Laboratory,ENT,"729, P.H. ROAD AMINJIKARAI CHENNAI 600029"
Immediate,125,121357,Anna Nagar,Private,SHENOY NAGAR CWC,Inpatient,Orthopedics,"SHENOY NAGAR, CHENNAI   600030"
Immediate,82,280678,Anna Nagar,Private,HANDE HOSPITAL,Inpatient,Gastro-intestinal,"45, LAKSHMI TALKIES ROAD, SHENOY NAGAR,
CHENNAI 600030"
Immediate,167,410425,Anna Nagar,Private,"DR.RAJALAKSHMI NURSING HOME,",OPD,ENT,"107-D, IST MAIN ROAD, ANNA NAGAR, CHENNAI
600102"
Unavailable,102,322516,Anna Nagar,Private,"DR.MU.VA HOSPITAL,",OPD,Neurology,"SHENOY NAGAR, CHENNAI   600030"
Unavailable,150,226560,Anna Nagar,Private,BILLROTH HOSPITAL,Home Nursing,Gastro-intestinal,"43, LAKSHMI TALKIES ROAD, SHENOY NAGAR,
CHENNAI 600030"
Scheduled,153,201679,Anna Nagar,Private,SHENOY NAGAR CWC,OPD,Neurology,"SHENOY NAGAR, CHENNAI   600030"
Immediate,144,421073,Anna Nagar,Private,R.R.HOSPITAL,Emergency,Cardiology,"SHENOY NAGAR, CHENNAI   600030"
Unavailable,189,36362,Anna Nagar,Government,A.K.N.NURSING HOME,Daycare,General,"20, KELLYS ROAD, CHENNAI   600010"
Scheduled,151,325166,Anna Nagar,Private,K.S.HOSPITAL,Daycare,Gynaecology,"47, P.H.ROAD, KILPAUK, CHENNAI 600010"
Unavailable,59,290219,Anna Nagar,Private,KILPAUK MEDICAL COLLEGE HOSPITAL,OPD,Neurology,KILPAUK CHENNAI   600010
Immediate,73,447993,Anna Nagar,Private,"DR. V. SESHIAH DIABETES RESEARCH
INSTITUTE",OPD,General,"NO. 729, P.H. ROAD AMINJIKARAI CHENNAI 600029"
Immediate,148,485415,Anna Nagar,Private,SREE SAI KRISHNA POLY CLINIC HOSPITAL,Emergency,General,"32, KILPAUK GARDEN ROAD KILPAUK CHENNAI
600010"
Scheduled,75,81484,Anna Nagar,Private,RIGHT HOSPITAL,Daycare,Neurology,"NO.1, PROF. SUBRAMANIAM STREET KILPAUK
CHENNAI 600010"
Scheduled,186,436780,Anna Nagar,Private,NEW HOPE MEDICAL CENTRE,Laboratory,Cardiology,"NO. 814, P.H. ROAD KILPAUK CHENNAI 600010"
Scheduled,20,304448,Anna Nagar,Private,TOSH HOSPITALS PVT. LTD,Laboratory,Psychiatry,"NO. 34/72, ORMES ROAD, KILPAUK CHENNAI   600010"
Unavailable,169,338270,Anna Nagar,Private,BE WELL MN HOSPITALS,Laboratory,Gastro-intestinal,"NO.15, BANK STREET, KILPAUK, CHENNAI   600010"
Unavailable,138,420381,Anna Nagar,Private,ONELIFE MOTS HOSPITAL,Laboratory,Psychiatry,"264/125, KILPAUK GARDEN ROAD, KILPAUK,
CHENNAI   600010"
Scheduled,133,381049,Anna Nagar,Private,MOTS HOSPITAL,Emergency,General,"NO. 264/125, KILPAUK GARDEN ROAD, KILPAUK,
CHENNAI 600010"
Scheduled,182,405675,Anna Nagar,Private,NEPHROLIFE CARE INDIA PVT LTD,Home Nursing,Gynaecology,"ZEW NO. 80, ALAGAPPA NAGAR, P.H. ROAD,
KILPAUK, CHENNAI   600010"
Unavailable,121,482847,Anna Nagar,Private,ADITYA HOSPITAL,Inpatient,Pediatrics,"7, BARNABY ROAD, KILPAUK, CHENNAI 600010"
Scheduled,73,228486,Anna Nagar,Private,KENSINGTON CLINIC AND HOSPITAL,Inpatient,Psychiatry,"856, P.H.ROAD, CHENNAI   600010"
Scheduled,108,432128,Anna Nagar,Private,RIGID HOSPITAL PVT.LTD.,Inpatient,Psychiatry,"47/3, NEW AVADI ROAD, CHENNAI   600010"
Immediate,195,210017,Anna Nagar,Private,"HOPKIN HOSPITAL (P) LTD.,",Home Nursing,Cardiology,"16, UMAYAL ROAD, CHENNAI   600010"
Immediate,109,430244,Anna Nagar,Private,ARUMUGAM NURSING HOME,Daycare,General,"764-A, P.H.ROAD, CHENNAI   600010"
Scheduled,102,392857,Anna Nagar,Private,HT.VIRA REDDI HOSPITAL,Laboratory,ENT,"NO.50, NEW AVADI ROAD, CHENNAI   600010"
Scheduled,183,118253,Anna Nagar,Private,SARALA NEUROLOGY HOSPITAL,Inpatient,General,"P.H.ROAD, CHENNAI   600010"
Immediate,167,70960,Anna Nagar,Private,HALSTED SURGICAL CLINIC,Laboratory,Cardiology,"P.H.ROAD, CHENNAI   600010"
Scheduled,81,469979,Anna Nagar,Private,JAYADEV POLYCLINIC,Daycare,General,"P.H.ROAD, CHENNAI   600010"
Unavailable,93,184795,Anna Nagar,Private,AYSHA HOSPITAL (P) LTD.,Inpatient,General,"91-A, MILLERS ROAD,  KILPAUK, CHENNAI 600010"
Unavailable,184,65095,Anna Nagar,Private,GUEST HOSPITAL,Home Nursing,Psychiatry,"P.H.ROAD, CHENNAI   600010"
Unavailable,34,203431,Anna Nagar,Private,RAMRAJ HOSPITAL,Emergency,Psychiatry,"P.H.ROAD, CHENNAI   600010"
Scheduled,121,427883,Anna Nagar,Private,APOLLO FIRST MED HOSPITAL,OPD,Orthopedics,"P.H.ROAD, CHENNAI   600010"
Unavailable,135,333156,Anna Nagar,Private,CHENNAI CANCER CARE,Daycare,Gastro-intestinal,"KIILPAUK GARDEN ROAD, KILPAUK, CHENNAI 600010"
Scheduled,182,469376,Anna Nagar,Private,DR.REX HOSPITALS,Emergency,Cardiology,"MILLERS ROAD, KILPAUK, CHENNAI 600010"
Immediate,193,275617,Anna Nagar,Private,MERCY HOME,Home Nursing,Psychiatry,"HALLS ROAD, KILPAUK, CHENNAI 600010"
Unavailable,177,261637,Anna Nagar,Private,REGINA NURSING HOME,Daycare,Pediatrics,"3,MANDAPAM ROAD, CHENNAI   600010"
Scheduled,93,164280,Anna Nagar,Private,RAMARAO POLY CLINIC,Daycare,Pediatrics,"NEW NO.261, OLD NO.829/2, P.H.ROAD, KILPAUK,
CHENNAI 600010"
Immediate,25,63673,Anna Nagar,Private,KUMARAN HOSPITAL,OPD,Orthopedics,"214, P.H.ROAD, CHENNAI   600010"
Immediate,76,193114,Anna Nagar,Private,R.K.GYNAEC AND MATERNITY HOSPITAL,Home Nursing,Gastro-intestinal,"866, P.H.ROAD, KILPAUK, CHENNAI 600010"
Unavailable,142,418530,Anna Nagar,Private,RAMNATH CLINIC AND NURSING HOME,Laboratory,Gastro-intestinal,"828,P.H.ROAD, KILPAUK, CHENNAI 600010"
Unavailable,158,256671,Anna Nagar,Private,PADMA CLINIC AND NURSING HOME,Home Nursing,Pediatrics,"753,P.H.ROAD, KILPAUK, CHENNAI 600010"
Immediate,190,176362,Anna Nagar,Private,DR.MEERAS NURSING HOME,Daycare,ENT,"142/9, AKSHAYA BUILDING, PURASAWALKAM HIGH
ROAD, KELLYS, CHENNAI 600010"
Unavailable,146,416331,Anna Nagar,Private,KILPAUK MEDICAL COLLEGE HOSPITAL,Emergency,Cardiology,"KILPAUK, CHENNAI   600010"
Unavailable,178,264836,Anna Nagar,Private,"KOLA SARASWATHI AGARWAL SAMAJ HEALTH
CENTRE",Laboratory,General,"25, DR. ALAGAPPA ROAD, PURASAWALKAM,
CHENNAI   600084"
Scheduled,173,37689,Anna Nagar,Government,VASVI POLY CLINIC,Inpatient,Gastro-intestinal,"NO.10, SUBRAMANI STREET, PURASAWALKAM,
CHENNAI 600007"
Immediate,123,477648,Anna Nagar,Private,K.J.HOSPITAL,Emergency,Cardiology,"182, P.H.ROAD, CHENNAI   600084"
Immediate,44,192265,Anna Nagar,Private,THE PVT.HOSPITAL,OPD,Pediatrics,"230, PURASAWALKAM HIGH ROAD, CHENNAI   600007"
Immediate,65,107474,Anna Nagar,Private,KOLA SARASWATHY HOSPITAL,Emergency,Cardiology,"6, DR.ALAGAPPA ROAD, PURASAWALKAM, CHENNAI
600084"
Scheduled,141,136616,Anna Nagar,Private,NOBLE HOSPITAL,Inpatient,ENT,"4, AUDIAPPA STREET, PURASAWALKAM, CHENNAI
600084"
Scheduled,165,238240,Anna Nagar,Private,V.K.HOSPITAL,OPD,Gastro-intestinal,"77, ALAGAPPA ROAD, CHENNAI   600084"
Immediate,28,138206,Anna Nagar,Private,GANGA NURSING HOME,Home Nursing,Psychiatry,"9, MADAM 1ST LANE, DR. ALAGAPPA ROAD,
PURASAIWALKAM, CHENNAI. 600084"
Scheduled,174,446100,Anna Nagar,Private,PURASAI HEALTH CARE CENTRE,Laboratory,Neurology,"29, SUNDARAM STREET, PURASAWALKAM, CHENNAI
600007"
Unavailable,45,71761,Anna Nagar,Private,"JAIMARUTHI CLINIC ,",Laboratory,Pediatrics,"27, SUNDARAM PILLAI STREET, PURASAWALKAM,
CHENNAI 600007"
Unavailable,27,224187,Anna Nagar,Private,VASVI POLY CLINIC,Daycare,Gastro-intestinal,"10, SUBRAMANIYA MUDALI STREET, KILPAUK,
CHENNAI 600010"
Unavailable,118,305991,Anna Nagar,Private,APPASAMY MULTI SPECIALITY HOSPITAL,OPD,Neurology,"NO.23, FRIENDS AVENUE, ARUMBAKKAM, CHENNAI
600106"
Immediate,77,336272,Anna Nagar,Private,S.V.HOME FOR AGED,Inpatient,Pediatrics,ARUMBAKKAM CHENNAI   600106
Immediate,49,269361,Anna Nagar,Private,PEOPLE'S NURSING HOME,Home Nursing,Neurology,"16, NEW NATARAJAPURAM, AMINJIKARAI, CHENNAI
600029"
Scheduled,130,451053,Anna Nagar,Private,MOHAN HOSPITAL,OPD,Gynaecology,"CP-50, RAZACK GARDEN, ARUMBAKKAM, CHENNAI
600106"
Immediate,80,484899,Anna Nagar,Private,M.R.HOSPITAL,Home Nursing,Orthopedics,"12, GOVINDAN STREET, AYYAVOO COLONY,
AMINJIKARAI,CHENNAI 600029"
Scheduled,193,358903,Anna Nagar,Private,ZUBEDA HOSPITAL LTD.,Daycare,Cardiology,"10, DR.GURUSAMY ROAD, CHENNAI   600031"
Immediate,166,148424,Anna Nagar,Private,BETHANY HEALTH CENTRE,Emergency,Pediatrics,"CHETPET, CHENNAI   600031"
Unavailable,125,375694,Anna Nagar,Private,PRASHANTH HOSPITAL,Inpatient,Orthopedics,"77, HARRINGTON ROAD, CHETPET CHENNAI 600031"
Scheduled,95,77260,Anna Nagar,Private,PADMINI NURSING HOME,Home Nursing,Gastro-intestinal,"9, PACHIAYAPPAS COLLEGE HOSTEL ROAD,
CHETPET, CHENNAI 600031"
Immediate,102,447564,Anna Nagar,Private,URBAN FAMILY WELFARE CENTRE,Inpatient,Gynaecology,"R,RTH STMANGALAPURAM CHETPUT CHENNAI
600031"
Immediate,171,380269,Anna Nagar,Private,MEHTAS HOSPITAL PRIVATE LTD,Emergency,Pediatrics,"21, MC.NICHOLS ROAD, CHENNAI   600031"
Immediate,20,199773,Anna Nagar,Private,JOSEPHS NURSING HOME,Inpatient,Orthopedics,"10-A, DR.GURUSAMY ROAD, CHENNAI   600031"
Immediate,76,450678,Anna Nagar,Private,"SRI SAINATH HOSPITAL AND RESEACH
INSTITUTE",Home Nursing,Psychiatry,"OLD NO.11, NEW NO. 9 MC. NICHOLS ROAD 4TH
LANE CHETPET, CHENNAI 600031"
Unavailable,183,493909,Anna Nagar,Private,SIVASAKTHI NURSING HOME,Home Nursing,Psychiatry,"7, VENKATESHWARA LANE, CHOOLAIMEDU,
CHENNAI 600094"
Scheduled,65,146842,Anna Nagar,Private,VASANTHI ORTHOPAEDIC HOSPITAL,Laboratory,Gynaecology,"CP-50, RAZACK GARDEN MAIN ROAD ARUMBAKKAM,
CHENNAI   600106"
Unavailable,64,46254,Kodambakkam,Government,VIDYA NURSINGL HOME,Emergency,Pediatrics,"1, PARTHASARATHYPURAM, T.NAGAR, CHENNAI
600017"
Immediate,156,123023,Kodambakkam,Private,GANGA NURSING HOME,Daycare,Pediatrics,"8, DR.NAIR ROAD, CHENNAI T.NAGAR 600017"
Scheduled,104,371300,Kodambakkam,Private,BHARATHI RAJAA HOSPITAL,OPD,Psychiatry,"11, MADLEY ROAD, T.NAGAR, CHENNAI 600017"
Scheduled,116,356433,Teynampet,Private,CHILD WELFARE CENTRE,Home Nursing,Gynaecology,31 T T K ROAD CHENNAI    600004
Immediate,107,242529,Teynampet,Private,"DR.MOHAN KAMESWARAN MADRAS ENT
RESEARCH FOUNDATION",Home Nursing,Orthopedics,"15 P S SIVASWAMY SALAI  MYLAPORE CHENNAI
600004"
Immediate,146,232517,Teynampet,Private,SUDHA SURGICAL CLINIC,Laboratory,Pediatrics,"19 DR RADHAKRISHNAN ROAD MYLAPORE CHENNAI
600004"
Immediate,78,102643,Teynampet,Private,DR R GOWRI JANANI CLINIC,Emergency,Orthopedics,NO.22 SYNOJI STREET TRIPLICANE CHENNAI  600005
Immediate,118,222057,Teynampet,Private,LAKSHA HOSPITAL,Inpatient,Pediatrics,"NO. 15, P.S. SIVASAMY SALAI MYLAPORE CHENNAI
600004"
Scheduled,38,389676,Teynampet,Private,M S CLINIC,Inpatient,Gastro-intestinal,"A/16 CHINAPPA RAWTHET ST., CHENNAI    600005"
Scheduled,87,156092,Teynampet,Private,TRIPLICANE CWC,Laboratory,Cardiology,14 T P KOIL II LANE TRIPLICANE  CHENNAI  600005
Immediate,189,41660,Teynampet,Government,FOURIYA HOSPITAL,Emergency,Gynaecology,56 DR NATESAN ROAD TRIPLICANE CHENNAI 600005
Immediate,26,425409,Teynampet,Private,K P A CLINIC,OPD,Gynaecology,BALAJI NAGAR ROYAPETTAH CHENNAI  600014
Immediate,192,312190,Teynampet,Private,SAKTHI NURSING HOME AND SCAN CENTRE,Laboratory,Gastro-intestinal,86 BIG STREET TRIPLICANE CHENNAI 600005
Scheduled,96,385330,Teynampet,Private,J.S.HOSPITAL,Home Nursing,Neurology,"17, NEELAKANDAN STREET, CHOOLAIMEDU,
CHENNAI 600094"
Unavailable,45,435640,Teynampet,Private,GETWELL HOSPITAL,Inpatient,Pediatrics,"7, ATHERAYAPURAM MAIN ROAD, CHOOLAIMEDU,
CHENNAI 600094"
Scheduled,118,217774,Teynampet,Private,CWC PERIYAR NAGAR HEALTH CENTRE,Laboratory,Gynaecology,"17, SERPUDHEEN STREET, CHOOLAIMEDU, CHENNAI
600094"
Immediate,141,154084,Teynampet,Private,BHARAT HOSPITAL,Emergency,Gastro-intestinal,"211, PERIYAR PATHAL, CHOOLAIMEDU, CHENNAI
600094"
Scheduled,164,309919,Teynampet,Private,SIVASAKTHI NURSING HOME,Inpatient,Orthopedics,"7, VENKATESHWARA LANE CHOOLAIMEDU CHENNAI
600094"
Scheduled,86,419776,Teynampet,Private,J K NURSING HOME,OPD,Cardiology,"2, 3 KRISHNA IYER STREET,  CHENNAI    600035"
Scheduled,149,243728,Teynampet,Private,SASTHALAYA HOSPITAL,OPD,Neurology,"23, PUSHPA NAGAR, IST MAIN ROAD,
NUNGAMBAKKAM, CHENNAI 600034"
Immediate,48,213090,Teynampet,Private,SASTHALAYA HOSPITAL,Emergency,Neurology,PUSHPA NAGAR NUNGAMBAKKAM CHENNAI  600034
Scheduled,174,214404,Teynampet,Private,APOLLO HOSPITALS,Emergency,Cardiology,"21, GREAMS LANE CHENNAI    600006"
Scheduled,59,267075,Teynampet,Private,LIFE MED HOSPITALS PVT LTD,Home Nursing,Pediatrics,"NEW NO.12, OLD NO.32, CONRAN SMITH ROAD,
GOPALAPURAM, CHENNAI   600086"
Scheduled,200,346132,Teynampet,Private,DR. MOHAN'S  DIABETES SPEIALITES CENTRE,Emergency,Cardiology,"68, CONRAN SMITH ROAD GOPALAPURAM, CHENNAI
600086"
Unavailable,162,431167,Teynampet,Private,SANKARA NETHRALAYA,Daycare,Neurology,"COLLEGE ROAD, NUNGAMBAKKAM, CHENNAI 600006"
Scheduled,191,495533,Teynampet,Private,WELLINGDON HOSPITAL,Emergency,Neurology,21 PHCRAFTS GARDEN ROAD CHENNAI    600006
Unavailable,50,495736,Teynampet,Private,CHILD WELFARE CENTRE,Daycare,Gastro-intestinal,THOUSAND LIGHT  CHENNAI    600006
Immediate,72,492907,Teynampet,Private,VASANTHI MEDICAL CENTRE,Home Nursing,Gynaecology,CHENNAI  CHENNAI  CHENNAI  600006
Unavailable,44,405118,Teynampet,Private,APOLLO CHILDRENS HOSPITAL,Daycare,Orthopedics,"NO.15, A&B, SHAFI MOHAMMED ROAD THOUSAND
LIGHTS CHENNAI 600006"
Scheduled,49,320411,Teynampet,Private,HARVEY HEART MEDICINE CENTRE,Home Nursing,Gastro-intestinal,NO.20 PYCROFTS GARDEN ROAD  CHENNAI    600006
Unavailable,25,113348,Teynampet,Private,AMMA HOSPITAL,Daycare,Gastro-intestinal,"16, CHOOLAIMEDU HIGH ROAD, CHENNAI   600094"
Unavailable,109,71085,Teynampet,Private,THE BEST HOSPITAL,OPD,Orthopedics,"9, VELLALA STREET, KODAMBAKKAM, CHENNAI
600024"
Immediate,160,205806,Teynampet,Private,MEDWAY MEDICAL CENTRE,Laboratory,Gynaecology,"NO.22, 4TH CROSS STREET, TRUSTPURAM,
KODAMBAKKAM, CHENNAI   600024"
Scheduled,83,424304,Teynampet,Private,SHANTHI NURSING HOME,Emergency,Cardiology,34 G N CHETTY ROAD T NAGAR CHENNAI 600017
Unavailable,191,237137,Teynampet,Private,SRI MUKTHI CLINIC,OPD,Cardiology,NO.147 HABIBULLA ROAD T NAGAR CHENNAI  600017
Unavailable,137,261925,Teynampet,Private,SARAVANA HEART HOSPITAL,Laboratory,Cardiology,"NO.10/2, SOLAIAPPAN STREET, T. NAGAR, CHENNAI
600017"
Unavailable,111,63187,Teynampet,Private,CHITRAS ENT,Home Nursing,Neurology,"30-C CATHEDRAL GARDEN ROAD, NUNGAMBAKKAM
CHENNAI 600034"
Immediate,88,69551,Teynampet,Private,MED INDIA HOSPITAL,Inpatient,Psychiatry,"VALLUVARKOTTAM HIGH ROAD, NUNGAMBAKKAM,
CHENNAI 600034"
Scheduled,111,197086,Teynampet,Private,MATERNAL AND CHILD HEALTH CENTRE,Laboratory,ENT,"T. NAGAR, CHENNAI . 600017"
Unavailable,107,118786,Teynampet,Private,G.G. HOSPITALS,OPD,Cardiology,"NO.21, DR. THIRUMOORTHY NAGAR MAIN ROAD,
NUNGAMBAKKAM,  CHENNAI 600034"
Immediate,73,253294,Teynampet,Private,BRS HOSPITAL,Daycare,Orthopedics,"28 CATHEDRAL GARDEN STREET NUNGAMBAKKAM
CHENNAI 600034"
Scheduled,129,44229,Teynampet,Government,G G HOSPITAL,Laboratory,Gastro-intestinal,NO.6 N H ROAD NUNGAMBAKKAM  CHENNAI  600034
Scheduled,95,322905,Teynampet,Private,SAROJA NURSING HOME,Emergency,Pediatrics,176 K H ROAD NUNGAMBAKKAM CHENNAI  600034
Scheduled,71,202072,Teynampet,Private,RAJA'S PLOY CLINIC,Laboratory,Gynaecology,45 N H ROAD NUNGAMBAKKAM  CHENNAI  600034
Immediate,185,87393,Teynampet,Private,THE CHILD TRUST HOSPITAL,Home Nursing,Pediatrics,"9 NUNGAMBAKKAM HIGH ROAD NUNGAMBAKKAM
CHENNAI  600034"
Scheduled,151,444306,Teynampet,Private,"MEENAKSHI MATERNITY AND CHILDREN
HOSPITALS",Daycare,General,"NO.103,107,109 & 111, VALLUVARKOTTAM HIGH
ROAD, NUNGAMBAKKAM, CHENNAI 600034"
Unavailable,91,400280,Teynampet,Private,PRIYA HOSPITAL,Inpatient,Gynaecology,"129, HABIBULLAH ROAD, T.NAGAR, CHENNAI 600017"
